Name,FirstParagraph
Sarah  Abu Abdullah,"b. 1990, Qatif, Saudi ArabiaLives and works in Qatif"
Sarah Abu Abdallah,"Sarah Abu Abdallah works primarily with video and film as a medium. She grew up in Qatif, Saudi Arabia and is currently pursuing her masters degree in Digital Media at the Rhode Island School of Design in Providence. Her recent exhibitions Arab Contemporary in the Louisiana Museum of Modern Art in Denmark, Migrating Forms in NYC, the Serpentine Galleries 89plus Marathon in London, the 11th Sharjah Biennial in 2013, and Rhizoma in the 55th Venice biennale 2013. She contributed to Arts and Culture in the Transformative Times festival by ArteEast, NYC, and the Moving Image panel on Video + Film in Palazzo Grassi, Venice."
Sarah Al Abdali,"Born 1989 in Jeddah, Al Abdali studied graphic design at Dar Al Hekma College. Having been branded as one of Saudi’s first street artists, Al Abdali has exhibited at the British Museum in a collateral show to the Hajj exhibition. Born into a family with rich Hejazi history, Al Abdali has grown up with a deep appreciation of the land and heritage of the coastal region of Saudi, which is a recurring theme in her work. With the landscape ever changing, Al Abdali can no longer see the Hejaz she dreams of through the ruins of today and seeks to share a vision of her imagined land."
Saud Al-Duribi,"Saud Al-Duribi is an American trained sculptor who sells his work through Hewar Gallery in Riyadh. They mention that since 2000 he has participated in many events among which were exhibitions in sculpture town Dawadmi and in Al-Miftaha, the arts village in Abha. In a naive and innocent manner Al-Duribi is not afraid to carve animals and humans from the stone and this work is said to be collected by influential Saudi Arabians.Source:"
Sean Gullette,"Sean Gullette is an American writer, actor and filmmaker based in Tangier, Morocco. His career began when he co-wrote and played the lead role in Pi, directed by longtime collaborator Darren Aronofsky. He has since appeared in more than twenty films. In 2011, he returns to the screen in The Two Lives of Daniel Shore, with Nikolai Kinski, and his screenplay adaptation of Nobel Prize winner Kenzaburo Oe’s Nip the Buds, Shoot the Kids is going into preproduction. Gullette’s debut feature as a director, Tangier, which he has authored as well, will star Kristin Scott Thomas, Jeremy Irons and Emile Hirsch and is produced by Aronofsky’s Protozoa Pictures."
Seigen Ono + Ryuichi Sakamato + Shiro Takatani,http://www.sharjahart.org/people/people-by-alphabet/s/seigen-ono-ryuichi-sakamato-shiro-takatani
Setareh Shahbazi,NA
Shadi Ghadirian,"Shadi Ghadirian’s photography takes conflicting visual signifiers and drags them into ironic yet subtly unnerving relationships with the viewer. Born in 1974 in Tehran, Iran, Ghadirian emerged in 2000 among a generation of photographers prepared to tackle the confusing reality of a woman’s place in contemporary Iran and to play with understandings of the region. She has exhibited widely, participating in biennales in Russia, Sharjah (UAE); solo exhibitions in the US and India, and prestigious group shows including ‘Unveiled, New Art From the Middle East’ at the Saatchi Gallery, London, and the touring Word Into Art exhibition at The British Museum and DIFC, Dubai."
Shadia Alem,"Shadia Alem has a following of admirers among the creative djinns of both the desert of Wadi Abkat and those of the Île de la Cité, where the bells of the Notre Dame at first 'confused' her to recite muslim prayers. If ever there is need to imagine a hunchback on the minarets of the Grand Mosque in Makkah many djinns will no doubt summon Shadia and her sister Raja to draw and write his grotesque lines with a single pencil to please both ears and eyes. The artist and her novel writing sister were born in Makkah and later lived in Taif where Shadia as a child is said to have drawn on the doors. By the time she lived in Paris Alem had managed to move up to painting landscapes on the tail fin of some British Airways aircraft."
Shadia and Raja Alem,The sisters Shadia and Raja Alem represent one of Saudi Arabia’s only collaborative double acts. Born in Makkah they divide their time between Jeddah and Paris. The inimitable and spiritual bond between the two has allowed them to work together to startling effect.
Shafic Abboud,"Born in 1926 in Lebanon, Shafic Abboud is one of the foremost Arab artists of the 20th century. His paintings are a manifesto for freedom, colour, light and joy, as well as being a permanent bridge between the art scenes of France and Lebanon and that of Europe and the Middle East. Both Lebanese and Parisian, he was very attached to Lebanon, to its landscapes, its light and his own childhood memories. He was from a Lebanese Arab Modern culture. The stories of his grandmother, who was the village’s story-teller, left an indelible mark on him, at a very early age. He was familiar with the paintings of the travelling story-tellers. The artist’s eye was also strongly influenced by Byzantine icons and traditions from his church. The writings, debates, ideals, hopes and battles characterising the Arab Nahda, a modernist and anti-clerical Renaissance which was initially driven by Arab and Lebanese writers, were to later have a significant impact on Abboud’s intellectual education."
Shahriar Ahmadi,"Born in 1979, Kamyaran, Iran"
Shahrzad Changalvaee,"Shahrzad Changalvaee (born 1983, Iran) received a BA in Graphic Design from the Faculty of Fine Arts at Tehran University.  She uses typography as her medium to explore socio-political themes heavily influenced by her Persian heritage. Her explicative use of the Farsi language and its poetry creates graphic and dynamic imagery, captivating regardless of one’s knowledge of the language or culture. In What Lies Beneath | Second Edition, the artist presents a series of black and white photographs entitled ‘Mountains of Alas and Regret’ and a video work. The mountainscapes, playing with Farsi words by creating landscapes from them, redefine expressions of emotion, literally and metaphorically shrouding them to create an overwhelming sense of nostalgia. Chavangalaee explores the sensation of the sublime, the pleasant pain that feats of nature arouse. She evokes the countless ‘mountains’ that we feel defeated by, or disappointed by if we eventually reach their summit."
Shahzia Sikander,"b. 1969, Lahore, PakistanLives and works in New York, New York, USA"
Shalima Sharbatli,"Shalima Sharbatli. So we read on the internet: in Jeddah the apples from France and the oranges from Egypt come in Sharbatli boxes and have Sharbatli stickers on them. It is no surprise then that Shalima Sharbatli informs people that she lives with art 24 hours a day. 'An instinctive Saudi painter,' she herself was branded by Arab News and having to juggle at a young age with a touch of paradise perhaps educated her with knowledge that needs discovery. No images of her artwork travel on the internet, but for the picture in Arab News of herself as an artist, revealing a pair of trousers usually reserved for the atelier, and in front of one of her large outside works in Jeddah. The latest news on her is that she is planning a joint exibition in Paris with two artists from France and Spain. Mitterand Jr. will open the show. It is indeed about finding - not building - bridges, but art is not an international language, as Shalima is quoted to have said in wonder of people who 'imprison' themselves in local subjects. Art needs a viewpoint. The very best artists have eyes at the back of their heads, instinctively. As she is reported to have said that the music made her proud, a closer look at Sharbatli's work will surely reveal some lines of the national anthem of Saudi Arabia. Perhaps the daring scale of her work is such a line and those visiting the government guesthouse in Jeddah, should look out for a 17 meter long wall painting and be the judge of it. The limited glimpse of her work in the Arab News photo reminds me of a Dutch woman of noble birth, Jacoba van Heemskerk, who's more abstract paintings were influenced by Cubism and German expressionism, and who started very much by painting with the brain and struggled to jump out. But that is not Shabatli. It looks like the paint jumped on her first."
Shantia Zakerameli,"Born in 1980, Isfahan, Iran"
Sharif Waked,"Sharif Waked’s work reflects on power, politics and the every day, often creating junctions between particular moments in the present and cultural references from the past."
Shaweesh,"Shaweesh is a young Saudi street artist based in Riyadh, part of a growing movement of young street artists in the country. He believes in initiating dialogue on the streets with his interpretations and impressionable art. He began in 2009 with graffiti art, and expanded his expertise to digital, street and pop art. Shaweesh pursues US pop culture and classic Arabic themes of art. He has 5 years of experience creating digital art, typography and graffiti."
Shaweesh,"Shaweesh is a young Saudi street artist based in Riyadh, part of a growing movement of young street artists in the country. He believes in initiating dialogue on the streets with his interpretations and impressionable art. He began in 2009 with graffiti art, and expanded his expertise to digital, street and pop art. Shaweesh pursues US pop culture and classic Arabic themes of art. He has 5 years of experience creating digital art, typography and graffiti."
Sheela Gowda,"In many of my works I bring together specificity of place, form and materials into a language of abstraction. "
Sherif El Azma,"Cairo-based artist Sherif El Azma has worked extensively in film and video, producing short, experimental pieces such as Powerchord Skateboard, documentary shorts like Interview with a Housewife and full-length television pilots for Egyptian Soap Opera. His 2001 film Donia / Amar was screened as part of Past of the Coming Days."
Sherin Guirguis,"Sherin Guirguis (b. Egypt, 1974) received her BA from the College of Creative Studies at the University of California, Santa Barbara in 1997 and her MFA from the University of Nevada, Las Vegas in 2001. Sherin produces work that investigates the frictions between the contemporary and the traditional. Her work engages both formal and social concerns by juxtaposing the reductive Western language of minimalist aesthetics with that of Middle Eastern ornamentation."
Shilpa Gupta,"b. 1976, Mumbai, India"
Shimabuku,"b. 1969, Kobe, Japan"
Shinichiro Ogata,http://www.sharjahart.org/people/people-by-alphabet/o/ogata-shinichiro
Shirin Aliabadi,"An Art History and Archaeology graduate of the University of Paris, Shirin Aliabadi is an interdisciplinary artist based in Tehran."
Shirin Neshat,"Shirin Neshat (Iranian, b.1957) explores the political and social conditions of Iranian and Muslim life in her works, particularly focusing on women and feminist issues. Neshat was born in Qazvin, Iran, and left the country to study art in the United States at 17; she graduated from the University of California, Berkeley with an MFA in 1982. When she returned to her home country in 1990, she found it barely recognizable from the Iran before the 1979 Revolution, a shocking experience that incited the meditations on memory, loss, and contemporary life in Iran that are central to her work."
Shiro Takatani,"b. 1963, Kyoto, Japan"
Shohreh  Mehran,"Shohreh Mehran is a painter and a graphic designer. She graduated with a degree in Graphic Arts from the Tehran College of Arts. Often communicating by absence rather than presence, Mehran’s images capture and distil contemporary Iranian scenes and people, particularly in the urban and social context of Tehran.  She has exhibited widely in Iran and her work has also been shown in group shows in Europe and the US including most recently, Etemad Gallery at Slick, Palais de Tokyo, Paris (2010), IRAN TODAY, Brigitte Schenk Gallery, Koln (2010) and the United Nations in New York (2000)."
Shohreh Mehran,"Born in 1958, Ardebil, Iran"
Shumon Basar,Shumon Basar is a writer.
Sille  Storihle,"b. 1985, Tromsø, Norway"
Simin Keramati,"Simin Keramati was born in Tehran in 1970, where she received a B.A. in English Translation from Azad University (where she serves as a member of the Faculty of Art and Architecture) and an M.A. in Fine Art from the University of Art. Simin's work focuses on the Self and that which 'evolves' within it, as well as the 'inner' and 'outer' experiences of women."
Simin Keramati,"Born in 1970, Tehran, Iran"
Simohammed Fettaka,"Simohammed Fettaka is a multidisciplinary artist, born in 1981. He currently lives and works in Tangier."
Simon  Fujiwara,"b. 1982, London, UK"
Simone Fattal,"Simone Fattal is a painter and ceramics sculptor. She began painting in 1969 when she returned to Beirut after completing her studies in France. In 1980 she settled in California and founded the Post-Apollo Press, a publishing house dedicated to innovative, experimental literary work. She returned to her career as an artist in 1989, through the medium of ceramics sculpture. During this period, she worked at the prestigious workshop of Hans Spinner in Grasse, France. Her paintings and sculptures have been exhibited widely."
Simryn Gill,"Simryn Gill works with a range of media including photography, sculpture, making collections, writing and drawing. Her work could be described as a sorting of the residue of her immediate environments, making archives and records of the unstable meanings of things such as objects, images, language or actions."
Sirine Fattouh,"Sirine Fattouh is a Lebanese artist living between Paris and Beirut. She graduated from the École Nationale Supérieure d'Arts of Paris Cergy in 2006. Since 2006, she has exhibited her work at the Beirut Art Center, Roy Sfeir Gallery, The Biennial of Contemporary Art in Bourges, the French Cultural Center in Beirut, The Running Horse Contemporary Art Space. Her work creates a hulling atmosphere of seemingly ordinary surroundings while constantly raising pressing political and social questions about those who are the least heard and given voice to."
Sirine Fattouh,"Sirine Fattouh puts into perspective the profound effects left by the war on Lebanon, her country of birth. She fled the combat with her entire family in 1989. Her work questions the way in which her memories have formed through the connections that she has renewed with her country since her exile. It also examines the collective memory of the Lebanese who have remained there, which plays a determining role in the make-up of their current identity. Bearing this in mind, she elects a stripped-down art form, which approaches the style of a documentary, and almost resembles archive material in its elimination of any fictional or aesthetic element in order to force the viewer to face up to the reality which confronts them. Sirine Fattouh means however to imprint a political dimension into her work: for example, in Perdu/Gagné, she gives a voice to the Lebanese women “who have rarely if ever had the chance to utter or express their own opinion.”"
Slavs and Tatars,"Founded in 2006, Slavs and Tatars is a faction of polemics and intimacies devoted to an area east of the former Berlin Wall and west of the Great Wall of China known as Eurasia. The collective’s work spans several media, disciplines, and a broad spectrum of cultural registers (high and low) focusing on an oft-forgotten sphere of influence between Slavs, Caucasians and Central Asians."
Slavs and Tatars,"A collective of polemics and intimacies devoted to Eurasia, Slavs and Tatars’ work spans several media, disciplines and a broad spectrum of (high and low) cultural registers that focus on an oft-forgotten sphere of influence between Slavs, Caucasians and Central Asians. Based between Moscow and Brussels, the collective excavates stories and legacies, which are at risk of being forgotten and trodden under the guise of progress-cum-westernisation. Slavs and Tatars have published Kidnapping Mountains (Book Works, 2009), Love Me, Love Me Not: Changed Names (Onestar Press, 2010), and Molla Nasreddin: The Magazine That Would’ve, Could’ve, Should’ve (JRP/Ringier, 2011)."
Sohrab Mohebbi,"Sohrab Mohebbi is a writer and curator based in Brooklyn, New York. He is a contributing editor at Bidoun magazine. He is currently a curatorial fellow at the Queens Museum of Art and is a founding member of 127 band, Tehran."
Solange Farkas,"Solange Oliveira Farkas is a curator with a career spanning twenty-five years. She founded the International Contemporary Art Festival SESC_Videobrasil and has curated exhibitions such as the Pan-African Exhibition of Contemporary Art (Salvador, 2005), La Mirada Discreta: Marcel Odenbach & Robert Cahen (Buenos Aires, 2006), Roteiro Amarrado (CCBB Rio de Janeiro, 2010) Suspensão e Fluidez (arco, Madri, 2007), Sophie Calle – Cuide de você (São Paulo and Salvador, 2009), and the exhibition Joseph Beuys: We Are the Revolution, which was shown in both São Paulo and Salvador in 2010-2011. She was the director and curator of the Museum of Modern Art of Bahia between 2007–2010. Farkas is also winner of the Sergio Motta Hors Concours Award (2004), jury member for the Nam June Paik Award in Germany and board member at Escola São Paulo. She is now preparing the 17th edition of the International Contemporary Art Festival SESC_Videobrasil, which will take place in São Paulo, from October to December 2011."
Sophia Al Maria,"Sophia Al Maria is an artist, writer, and filmmaker. For the past few years, she has been carrying out research around the concept of Gulf Futurism. Her primary interests are around the isolation of individuals via technology and reactionary Islam, the corrosive elements of consumerism and industry and the erasure of history and the blinding approach of a future no one is ready for. She explores these ideas with certain guidebooks and ideas including but not limited to, Zizek’s The Desert of the Unreal, As-Sufi’s Islamic Book of the Dead, as well as imagery from Islamic eschatology, post humanism and the global mythos of Science Fiction."
Sophie Ernst,"Sophie Ernst explores themes of memory, displacement and cultural relativity through video and installation work that often reflects the complexities of the relationship between East and West."
Soraya Darwish,"Soraya Darwish (1988) is a general artist (photographer and illustrator) of Saudi or Egyptian origin in Cairo or Alexandria or perhaps back in Jeddah. She had a site on deviantArt where she showed some pages from her sketchbook, and some photographs which were promising. Two of them were of her father reading his newspaper at a coffee (tea) corner. She had posted two slightly different versions, one in colour and one in black and white. There were more pictures in which she gave testimony of having a keen and observing eye for everyday life. (2008)."
Standish Lawder,"Standish Lawder recently retired from his position as Professor and Chairperson of the Visual Arts department at the University of California, San Diego. Standish has also taught film at Harvard and Yale Universities and has been internationally recognized for his work in avant-garde filmmaking."
Steve Reinke,"Steve Reinke is an artist and writer best known for his videos. His work has been widely screened and is in several collections, including the Museum of Modern Art MoMA, New York, the Centre Pompidou, Paris, and the National Gallery, Ottawa. A book of his scripts, Everybody Loves Nothing: Scripts 1997-2005 was published by Coach House, Toronto in 2006. He has also co-edited several books, including Lux: A Decade of Artists’ Film and Video (with Tom Taylor, 2000), and The Sharpest Point: Animation at the End of Cinema (with Chris Gehman, 2005). He is currently Associate Professor of Art Theory & Practice at Northwestern University. A book of his prose, The Shimmering Beast, will be published in the spring of 2011."
Studio Mumbai – Bijoy Jain,"est. 1995, Mumbai, India"
Sulayman Al Bassam,SABAB - Sulayman Al Bassan Theatre
SUPERFLEX,http://www.sharjahart.org/people/people-by-alphabet/s/superflex
Susan Hefuna,"Susan Hefuna’s practice incorporates drawing, sculpture, video and photography as well as ambitious participatory installations and workshops. At the core of this is her fascination with the networks and structures of connection that inhabit public spaces and become the framework for peoples’ interactions with each other as well as how these networks become visible through – amongst other things – cultural customs, architectural models and city planning. Structures and networks are not just concepts that Hefuna explores as subject matter but are also deployed in a more literal sense as mechanisms within her creative process. Within her recent drawings, inspired by these networks, Hefuna creates grids of connected dots with ink and pencil on multiple layers of tracing paper. These lattices are not created through strict predetermined systems but, rather, are intuitively composed and open to change and subversion. The outcomes evoke embroidery and tapestry, but also molecular structures, maps, cityscapes, or, as with much of her work, the intricacies of the traditional wooden mashrabiya screens of Cairo."
Susan Hefuna,"Susan Hefuna uses a variety of media, including drawing, photography, sculpture, installation, film and performance to create multilayered works informed by her dual German-Egyptian heritage and personal experiences in life."
Suzanne Cotter,http://www.sharjahart.org/people/people-by-alphabet/c/cotter-suzanne
Tagreed Al-Bagshi,"Tagreed Al-Bagshi (1975) from Ahsa holds a BA in science and education and is a supervisor in the education of girls. She knows how to handle paint and learned to do so in painting classes given in Damman, Qatif and Syria. As a painter she has steadily been building a body of work, that shows she got to know the classics of modern art, which fit very well Saudi concepts that there is not much gain in trying to depict nature-true with paint. It is the modern abstaction which accepts gracefully our own failure at creation and makes the best of it. So at least could be a vision of art. A very frank Al-Bagshi shares with us however her first efforts of 2001 in her on-line gallery, which indicate she moved from a romantic sea shore vision to the inner thoughts of humans, often ruled by the moon; in form not unlike those caught in stone by Modigliani. It is in 2007 that suddenly again the sun appears and her paintings flow with colour. Then too, all figurative efforts sometimes dissolve as they did in two painted boards. It looks like the artist can now handle with wise ease anything that may sweep ashore in the Persian Gulf."
Taha Al-Sabban,http://www.greenboxmuseum.com/sa-tahaalsabban.html
Tahani Al-Briki,Greenbox dictionary of Saudi Arabian artistsHome   Index
Talal Al-Zeid,"Talal Al-Zeid (1981) has a website which repeats three times an opening statement: that we should never judge a painting by its colour. Yes, that we should never judge a painting by its colour. And readers who agree with Talal should never judge a painting by its colour. As long as they remember that when the sky is blue it might not rain."
Tamar  Guimarães,"b. 1967, Belo Horizonte, Brazil"
Tanbak,"Born and raised in Beirut, Tanbak left her native country at the age of eighteen to study Spanish literature in Madrid and international relations at Georgetown University in Washington, D.C. She later settled in Paris, and is now based in Beirut."
Tarek Al Ghoussein,"Palestinian photographer Tarek Al Ghoussein has spent the past 10 years considering how performance, interventions and photographic methods can be used to explore what it means to be situated within a landscape."
Tarek Al-Ghoussein,"Born in Kuwait in 1962, Tarek Al-Ghoussein’s position as a Palestinian Kuwaiti shapes the dominant themes of identity, displacement, and structural and political control prominent in much of his work. Al-Ghoussein received his Bachelor’s degree in photography from New York University and his Master’s degree in Fine Arts from the University of New Mexico. He has taught at the American University of Sharjah and is currently a professor at New York University in Abu Dhabi. His first exhibition with Taymour Grahne Gallery opened in September 2014. His work, photographs often featuring the figure of the artist silhouetted against barren urban and desert landscapes of the region, serves as a partial allegory for the obstacles and forms of control facing Palestinians both within and exiled from the Palestinian territories, as well as troubling Western representations of Arabs as terrorists. Other series use the desert as a stage for investigating the artist’s relationship to land and place, in the midst of the rapid urban transformation witnessed in the UAE, where the artist lives. In the words of Sabine Vogel, his work goes beyond the specific, and “transforms direct political references into the existentially universal.” (Sabine Vogel, Artforum, 4.29.10)Tarek's works are in the collections of several international museums and institutions, including the British Museum, London; Museum of Fine Arts, Houston; Victoria and Albert Museum, London; Solomon R. Guggenheim Museum, New York; Mori Art Museum, Tokyo; the Sharjah Art Foundation, Sharjah, UAE; Mathaf Museum, Qatar; and the Barjeel Art Foundation, Sharjah, among others. His work has been shown internationally at the Sharjah Art Museum, Sharjah; the 53rd Venice Biennale, Venice; the 6th Sharjah Biennial, Sharjah; the Royal Photography Museum, Copenhagen; Aperture Gallery, New York."
Tarek Al-Ghoussein,"Tarek Al-Ghoussein was born in Kuwait in 1962. He received his BFA (Photography) from New York University in 1985 and his MA (Photography) from the University of New Mexico in 1989. As a Kuwaiti of Palestinian origin, much of Tarek’s work deals with how his identity is shaped in a context of inaccessibility and loss. His work explores the boundaries between landscape photography, self-portraiture and performance art."
Tarek Atoui,"Atoui is an electro-acoustic musician who initiates and curates multidisciplinary interventions, events, concerts and workshops in Europe and the Middle East."
Tarek Halaby,http://www.sharjahart.org/people/people-by-alphabet/h/halaby-tarek
Taus Makhacheva,"b. 1983, Dagestan, Russia"
Taysir Batniji,"Born in Gaza in 1966, Taysir Batniji studied art at Al-Najah University in Nablus, on the West Bank. In 1994, he was awarded a fellowship to study at the School of Fine Arts in Bourges. Since then, he has been dividing his time between France and Palestine. During this period spent between two countries and two cultures, Batniji has developed a multi-media practice, focusing on photographic or video images since 2001. www.taysirbatniji.com"
Taysir Batniji,"Trained as a painter, but also a creator of installations and performances, since the 1990s Taysir Batniji has worked mainly with video and photography, two “light” mediums that fit with a career which has involved much travelling to and from between Palestine and Europe. He documents Palestinian reality in a physically vivid, anti-spectacular way by focusing on displacement, intermediate states, and the inhibition of movement. These objective issues which are part and parcel of the social, political and cultural context in Palestine also reflect the position of the artist as a witness and contributor to the life of his country, but also the Western art scene."
Teboho Mahlatsi,"Teboho Mahlatsi was born in 1974. He graduated from the Africa Cultural Centre Film & Television Course in Johannesburg. Through his production company The Bomb Shelter, he won numerous international film awards. His films include Meokgo and the Stickfighter (2006), A Portrait of a Young Man Drowning (1999) and White City Black Lives (1997)."
The Ministry for State Security (Ministerium für Staatssicherheit),"The Ministry for State Security (German: Ministerium für Staatssicherheit, commonly known as the Stasi (abbreviation German: Staatssicherheit, literally State Security), was the official state security service of East Germany. It was widely regarded as one of the most effective and repressive intelligence and secret police agencies in the world. The MfS motto was “Schild und Schwert der Partei” (Shield and Sword of the Party), that is the ruling Socialist Unity Party of Germany (SED). –Wikipedia"
Theo  Eshetu,"Theo Eshetu is a video artist who uses the manipulation of television language as a means for artistic expression. Born in London in 1958, he spent part of his childhood in Ethiopia. His works include Travelling Light (2002), Africanized (2001), Body & Soul v. 3 (2004) among others."
Thilo  Frank,"b. 1978, Waiblingen, Germany"
Thomas  Demand,"b. 1964, Munich, Germany"
Thomas  Werner,"Thomas Werner is a filmmaker from Berlin. He studied Visual Communication and Film at Hochschule der Künste, Berlin between 1991–1998. His photographs and films have been shown in various venues such as the Berlinale, International Short Film Festival Oberhausen, Tate Modern, the Berlin Biennial and others."
Tiffany  Chung,"b. 1969, Danang, VietnamLives and works in Ho Chi Minh City, Vietnam"
Tintin Wulia,"b. 1972, Denpasar, IndonesiaLives and works in Melbourne, Australia"
Tom Molloy,"Tom Molloy’s work includes sculpture, photography, drawing and installation in order to engage with global events, particularly in relation to the place of the US in the contemporary world order. In addition to regular projects at Rubicon Gallery Dublin and Lora Reynolds Gallery Austin, Texas, he has had major solo shows in Ireland include the Solstice Arts Centre, Navan, County Meath (2008) and the Limerick City Gallery of Art (2005). In 2010, the Aldrich Contemporary Art Museum, Ridgefield, Connecticut presented a retrospective of his work."
Tony  Chakar,"b. 1968, Beirut, LebanonLives and works in Beirut"
Trisha  Donnelly,"Trisha Donnelly absorbs photography, drawing, audio, video, sculpture and performance into a practice that reflects on both the aesthetics of the act of creation and its results. She has exhibited prolifically in both solo and group contexts, most recently at the Carnegie Museum of Art, Pittsburgh (2011) and the Neue Gesellschaft für Bildende Kunst (NGBK), Berlin (ongoing-2012). Donnelly is a Clinical Associate Professor of Studio Art at New York University's Steinhardt School of Culture, Education and Human Development. She was recently awarded the 2010 LUMA Photography Prize."
Valeska Soares,"Time, the history of art, and human subjectivity in all of its forms are themes that Brazilian artist Valeska Soares explores in her work."
Valia  Fetisov,"b. 1989, Moscow, RussiaLives and works in Moscow"
Vartan Avakian,"Vartan Avakian employs video, installation, photography and other media drawn from popular culture in order to examine the tools and processes of modern cultural production. He studied Communication Arts at Lebanese American University and is currently pursuing graduate studies in Architecture and Urban Culture at the Universitat Politècnica de Catalunya and the Centre de Cultura Contemporània de Barcelona. Avakian lives and works in Beirut and is a founding member of the art collective Atfal Ahdath."
Wael Shawky,"Egyptian artist Wael Shawky uses a range of media to produce work that explores issues of religion, culture and the effects of globalization on society today."
Wafa Al-Mihdar,Greenbox dictionary of Saudi Arabian artistsHome   Index
Wafa Hourani,"Born in 1979 in Hebron in Palestine, Wafa Hourani now lives and works in Ramallah. Deeply marked by the Israeli-Palestinian conflict and the future of the Middle East, the artist develops a work which reveals the social, political and economical context of life in Palestine."
Wafa Hourani,"Born in Hebron in 1979, Palestinian artist Wafa Hourani has been working on what he calls his Future Cities Projects, the first manifestation of which, Qalandia 2047, was exhibited in the 2007 Thessaloniki Biennial and again in Disorientation II."
Wafa Karsha,Wafa Karsha is a member of the women's Saudiaat Art Group in Jeddah. In 2006 she received an encouraging award for pottery and ceramics at an International Congress on Tourism and Traditional Handicrafts organized in Riyadh by the Crafts Development Program of the Research Centre for Islamic History in Istanbul.
Wafaa Bilal,"Known internationally for his on-line performative and interactive works, Bilal's thought provoking works deal with international politics and internal dynamics often using his body as the canvas.  His most recent and provocative work 3rdi involved surgically implanting a camera on the back of his head to spontaneously transmit images to the web 24 hours a day - a statement on surveillance, the mundane and the things we leave behind. Bilal's 2010 work""....And Counting""similarly used his own body as a medium. His back was tattooed with a map of Iraq and dots representing Iraqi and US casualties - the Iraqis in invisible ink seen only under a black light. Bilal's 2007 installation, Domestic Tension, also addressed the Iraq war. Bilal spent a month in a Chicago gallery as the target of a paintball gun that people could shoot at him over the internet."
Waheeda Malullah,"Using video, photography, installation and performance, Waheeda Malullah playfully examines the roles adopted by Islamic women and the rules and mechanisms that control the world in which she lives."
Waleed Alzuhair,Waleed Alzuhair is a commercial photographer from Riyadh who has a website gallery showing work he has done for a number of clients among which is the Saudi Arabian Encyclopedia. He has a 'day job' as Head of Quality at the Saudi Research & Publishing Company and has before been in charge of all visual content at this company.
Walid Raad,"Born in 1967 in Chbanieh in the Lebanon, Walid Raad is an artist whose work reflects the troubled history of his country of origin, which he has witnessed since childhood. By collecting, modifying and creating photographs, texts and videos, he plays on the idea of the document as it relates to the civil war and the troubles between communities which have shaken this territory. The artist infuses his depictions with a cloudiness intended to throw doubt on the notion of documentation itself, and posing a profound question about how History is constructed. His working method involves artistic processes such as montage, hijacking and displacement which he uses to create his poetic, semantic distortions against the backgrounds he manipulates. Since 1999, this work on archives and memory through images has evolved around the Atlas Group, a fictitious organisation which produces, conserves and studies documents about the contemporary history of Lebanon, initiated and activated by Walid Raad. The artist is also a member of the AIF (Arab Image Foundation), an institution based in Beirut since 1997, responsible for collecting and promoting a visual heritage of the Middle East, North Africa and the Arab Diaspora. Walid Raad lives and works in Beirut (Lebanon) and New York (USA). He teaches at the New York Cooper Union art school. An artist of great international renown, he has exhibited in Europe, in the Middle East and in North America, notably in a major retrospective in 2006 at the Hamburger Banhof (Berlin, Germany) then in 2010 at the Whitechapel Gallery (London, United Kingdom), as well as at the 104 within the Festival d’Automne in Paris (France). He has participated in the Documenta 11 in Kassel, Germany in 2002, at the Venice Biennale (Italy) in 2003, at Home Works; a series of forums about cultural practices held in Beirut (Lebanon). He won the Guggenheim Prize in 2009. He received the Alpert Award in Visual Arts and the Deutsche Borse Photography Prize in 2007 as well as the Camera Austria Award in 2005."
Walid Raad,"Born in 1967 in Chbanieh in the Lebanon, Walid Raad is an artist whose work reflects the troubled history of his country of origin, which he has witnessed since childhood. By collecting, modifying and creating photographs, texts and videos, he plays on the idea of the document as it relates to the civil war and the troubles between communities which have shaken this territory. The artist infuses his depictions with a cloudiness intended to throw doubt on the notion of documentation itself, and posing a profound question about how History is constructed. His working method involves artistic processes such as montage, hijacking and displacement which he uses to create his poetic, semantic distortions against the backgrounds he manipulates."
Walid Raad,"Walid Raad has worked with mixed media installation, performance, video, photography and text to create a substantial body of work the offers multi-layered narratives on the contemporary history of Lebanon. Atlas Group, his fifteen-year project (1989 – 2004) documented contemporary Lebanese history, particularly the wars between 1975 and 1991. Archive publications from this project include Let's Be Honest, The Weather Helped (2007), My Neck Is Thinner Than A Hair (2006) and the Truth Will Be Known When The Last Witness Is Dead (2004),His most recent publication is Scratching on Things I Could Disavow: A History of Modern and Contemporary Art in the Arab World (2009). This project started in 2007 contextualises and explores recent cultural developments in the region and the potential impact of their infrastructure.Raad's works have been shown at Documenta Kassel, Germany, The Venice Biennale, Venice, Italy, The Hamburger Bahnhof, Berlin, Germany, The Museum of Modern Art, New York, USA, Homeworks, Beirut, Lebanon, and numerous other museums and venues in Europe, the Middle East and North America. Raad is the recipient of the Alpert Award in Visual Arts (2007), the Deutsche Börse Photography Prize (2007) and the Camera Austria Award (2005) and is also a member of the Arab Image Foundation.Walid Raad was born in Chbanieh, Lebanon in 1967 and is an Associate Professor of Art in The Cooper Union (New York, USA).  In 1989 he received a BFA from the Rochester Institute of Technology and an MA (1993) and Ph.D. (1996) in Cultural and Visual Studies at the University of Rochester."
